2023-03-14 17:48:30.055 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985202550888062 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:30.319 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:30.568 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985232353210449 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:30.833 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985225200653076 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:31.078 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:31.325 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985216856002808 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:31.578 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998521625995636 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:31.817 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998521089553833 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:32.059 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985211491584778 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:32.300 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985232353210449 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:32.543 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985223412513733 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:32.782 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985232353210449 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:33.021 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:33.294 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:33.534 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985225200653076 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:33.777 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985209703445435 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:34.045 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:34.325 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998521625995636 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:34.581 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985230565071106 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:34.850 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985223412513733 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:35.112 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985206127166748 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:35.374 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998522162437439 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:35.624 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985228776931763 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:35.870 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998522162437439 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:36.129 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985215067863464 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:36.384 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985220432281494 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:36.638 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985215067863464 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:36.906 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985228776931763 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:37.167 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998522162437439 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:37.415 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985222220420837 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:37.667 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985223412513733 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:37.934 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985203742980957 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:38.200 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985225200653076 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:38.479 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985225200653076 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:38.735 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985225200653076 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:39.002 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985229969024658 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:39.284 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985225200653076 位置 (238, 890) 缩放类型 none 缩放比例 1
2023-03-14 17:48:39.551 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9985218048095703 位置 (238, 890) 缩放类型 none 缩放比例 1
