2023-03-13 21:08:56.478 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998069167137146 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:56.724 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998069167137146 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:56.966 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980700016021729 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:57.235 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998069167137146 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:57.488 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980697631835938 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:57.744 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980681538581848 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:58.000 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980690479278564 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:58.278 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980677366256714 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:58.546 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980705380439758 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:58.814 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:59.102 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980684518814087 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:59.397 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980691075325012 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:59.687 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980679154396057 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:08:59.961 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:00.235 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:00.511 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980698227882385 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:00.798 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9980700016021729 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:01.084 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.998337984085083 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:01.371 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983369708061218 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:01.637 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983369708061218 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:01.893 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983363151550293 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:02.150 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983369708061218 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:02.395 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983369708061218 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:02.648 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983376860618591 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:02.899 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983369708061218 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:03.129 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983369708061218 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:03.378 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983377456665039 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:03.674 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983369708061218 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:03.940 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983391165733337 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:04.235 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983369708061218 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:04.524 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983376860618591 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:04.795 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983369708061218 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:05.072 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983383417129517 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:05.357 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983391165733337 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:05.625 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983376860618591 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:05.915 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983363151550293 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:06.185 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983376860618591 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:06.440 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983383417129517 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:06.699 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983377456665039 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:06.951 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983391165733337 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:07.190 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983369708061218 位置 (260, 890) 缩放类型 none 缩放比例 1
2023-03-13 21:09:07.445 | DEBUG    | scripts.marked.tpl_match:tpl_match:170 - 模版匹配执行完毕：最高相似度 0.9983369708061218 位置 (260, 890) 缩放类型 none 缩放比例 1
